dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
RUR-492073,RuralDev,Suresh Kumar,1959-05-12,879597856425,,9216396351,68396828876,"H.No 130, Nehru Nagar, Rishikesh - 249201",249201,F,labourer,400000,,,Rural Livelihood Mission,approved,6000,2023-04-02,P0017
RUR-826897,RuralDev,Amit Sharma,2001-06-20,,GEFHB1510B,9752376434,16176905249,"H.No 118, Main Road, Roorkee - 247667",247667,M,student,45000,10th,,Rural Livelihood Mission,approved,6000,2025-02-23,P0073
RUR-823825,RuralDev,Rajesh Rawat,1979-07-03,,,9124411864,52857291156,"49/main road, roorkee, uttarakhand, 247667",247667,M,shopkeeper,,,,Village Infra Grant,pending,120000,2024-11-08,P0096
RUR-934438,RuralDev,  Deepak Patel ,2003-05-10,722211269149,,9526351920,66016261680,"97/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,farmer,180000,none,,Village Infra Grant,approved,120000,2025-12-02,P0057
RUR-730343,RuralDev,Sanjay Singh,1971-01-23,810195189821,GKHBE6409E,9437064353,52520377395,183 Station Rd Rishikesh 249201,249201,M,teacher,120000,,,Rural Livelihood Mission,pending,12000,2026-02-01,P0018
RUR-357143,RuralDev,Amit Rawat,1988-09-20,447271085634,,9454002758,83420343971,"163/shivalik vihar, dehradun, uttarakhand, 248001",248001,F,unemployed,,12th,,MGNREGA Wage Support,approved,25000,2026-09-16,P0062
RUR-416503,RuralDev,PRIYA RAWAT,1959-03-25,598075116992,,9509123009,99431601323,"198/station rd, roorkee, uttarakhand, 247667",247667,M,labourer,45000,10th,,MGNREGA Wage Support,approved,0,2026-06-05,P0046
RUR-316995,RuralDev,Deepak Chauhan,1959-01-22,,,9481469012,21373225387,137 Station Rd Haldwani 263139,263139,F,,400000,,,Village Infra Grant,rejected,12000,2023-03-25,P0002
RUR-299080,RuralDev,Sanjay Verma,1958-09-17,568697923455,,9870348269,88504811746,174 Gandhi Marg Haridwar 249401,249401,F,student,,graduate,,Village Infra Grant,rejected,25000,2025-03-27,P0094
RUR-870627,RuralDev,Singh Amit,1989-04-25,,CKFFH6253B,9424017094,30943370041,"124/main road, rishikesh, uttarakhand, 249201",249201,M,unemployed,,10th,,Village Infra Grant,approved,50000,2024-09-24,P0098
RUR-404771,RuralDev,Deepak Yadav,2006-05-11,671055261166,FBCEF4937F,9611201082,72237603717,244 Station Rd Rishikesh 249201,249201,F,farmer,,,,Village Infra Grant,approved,6000,2025-08-15,P0029
RUR-650775,RuralDev,Hareesh Joshi,1975-03-15,765968045331,,9410315830,38797330249,207 Station Rd Rishikesh 249201,249201,M,unemployed,400000,graduate,,Village Infra Grant,approved,25000,2024-03-04,P0087
RUR-633541,RuralDev,KAVITA NEGI,2004-09-01,,,9885879795,86281205445,12 Nehru Nagar Roorkee 247667,247667,F,student,,graduate,,Village Infra Grant,approved,50000,2026-04-11,P0006
RUR-284234,RuralDev,Ameet Singh,1989-04-25,224392555739,,9424017094,30943370041,"97/shivalik vihar, rishikesh, uttarakhand, 249201",249201,M,,,10th,,Village Infra Grant,approved,6000,2023-01-28,P0098
RUR-412687,RuralDev,Rekha Yadav,1960-04-22,,ACEJA7790F,9718121922,64530426279,135 Station Rd Haldwani 263139,263139,F,shopkeeper,,10th,,Rural Livelihood Mission,pending,12000,2024-03-26,P0020
RUR-211222,RuralDev,Sanjay Verma,1958-09-17,,BJEGH9008A,9648011361,70368496114,169 Nehru Nagar Haridwar 249401,249401,F,student,250000,,,MGNREGA Wage Support,approved,120000,2026-06-24,P0094
RUR-829943,RuralDev,Lakshmee Gupta,1962-10-07,981651987043,,9721358005,88649257499,"245/station rd, dehradun, uttarakhand, 248001",248001,F,,180000,,,MGNREGA Wage Support,pending,6000,2025-10-18,P0026
RUR-967412,RuralDev,Meena Rawat,1956-06-11,352660401436,,9155142186,76930722835,"H.No 109, Main Road, Haldwani - 263139",263139,M,student,,postgraduate,,MGNREGA Wage Support,approved,120000,2024-11-28,P0085
RUR-112537,RuralDev,KAVITA JOSHI,1986-08-07,816036977209,,9303901283,37044154194,51 Nehru Nagar Dehradun 248001,248001,M,farmer,250000,postgraduate,,MGNREGA Wage Support,approved,0,2023-02-07,P0010
RUR-947718,RuralDev,Amit Guptaa,2006-05-24,250551691049,,9870348269,88504811746,"88/shivalik vihar, haldwani, uttarakhand, 263139",263139,M,shopkeeper,,10th,,Rural Livelihood Mission,approved,25000,2023-05-02,P0095
RUR-279683,RuralDev,Mohan Verma,1966-07-15,820514302468,,9516396603,21936440447,"226/nehru nagar, haridwar, uttarakhand, 249401",249401,F,,,10th,,MGNREGA Wage Support,approved,6000,2026-06-11,P0110
RUR-900011,RuralDev,Kumar Vikram,1962-10-22,850466543399,,9614407444,36688870138,185 Station Rd Haldwani 263139,263139,F,teacher,120000,postgraduate,,Village Infra Grant,pending,25000,2024-04-16,P0088
RUR-157259,RuralDev,Gupta Kavita,1992-11-13,389058395037,HABHG7383C,9487298927,19047567324,202 Main Road Rishikesh 249201,249201,M,farmer,120000,graduate,,Village Infra Grant,rejected,120000,2025-10-19,P0109
RUR-813666,RuralDev,  Vikram Negi ,1989-08-15,371216538078,,9821856853,47887715751,"H.No 143, Nehru Nagar, Rishikesh - 249201",249201,M,teacher,45000,10th,,Village Infra Grant,rejected,12000,2026-03-28,P0035
RUR-580419,RuralDev,HARISH YADAV,1960-07-22,328933038822,DCCCH6400C,9725412469,90414168139,"102/gandhi marg, rishikesh, uttarakhand, 249201",249201,F,farmer,120000,,,MGNREGA Wage Support,approved,50000,2023-01-11,P0092
RUR-200932,RuralDev,Sunita Kumar,,784931532476,,9638798023,48283135050,"34/gandhi marg, haridwar, uttarakhand, 249401",249401,M,student,120000,,,Rural Livelihood Mission,rejected,120000,2026-08-17,P0045
RUR-573066,RuralDev,Rajesh Kumar,2005-07-12,367742739939,,9956508307,21565639469,82 Station Rd Roorkee 247667,247667,M,,,graduate,,Rural Livelihood Mission,approved,0,2025-09-17,P0113
RUR-831063,RuralDev,Vikram Negi,1986-05-28,219479395533,,9857704655,84851345353,"H.No 170, Station Rd, Dehradun - 248001",248001,F,,45000,none,,Rural Livelihood Mission,pending,6000,2023-06-01,P0014
RUR-860579,RuralDev,  Vikram Kumar ,1962-10-22,,,9614407444,36688870138,102 Station Rd Haldwani 263139,263139,F,teacher,120000,,,Village Infra Grant,approved,0,2026-03-07,P0088
RUR-557250,RuralDev,Kavita Chauhan,2000-12-21,491269229335,,9714478186,71714003551,178 Main Road Roorkee 247667,247667,F,teacher,,,,Village Infra Grant,rejected,0,2024-06-15,P0076
RUR-138436,RuralDev,Sanjay Yadav,1985-09-17,753564196764,,9675379544,34439066376,121 Gandhi Marg Roorkee 247667,247667,M,student,80000,graduate,,Rural Livelihood Mission,approved,6000,2026-09-17,P0030
RUR-108739,RuralDev,DEEPAK GUPTA,1995-10-01,,KHCJF4538G,9350180427,95472129961,"234/station rd, haridwar, uttarakhand, 249401",249401,M,,120000,10th,,Rural Livelihood Mission,approved,25000,2023-06-16,P0049
RUR-892476,RuralDev,AMIT SINGH,1989-04-25,224392555739,CKFFH6253B,9424017094,30943370041,"243/main road, rishikesh, uttarakhand, 249201",249201,M,,,10th,,Rural Livelihood Mission,approved,12000,2024-12-10,P0098
RUR-507652,RuralDev,SUNITA JOSHI,1987-06-08,818371424678,,9408034406,30749461554,"137/nehru nagar, rishikesh, uttarakhand, 249201",249201,F,,180000,graduate,,Village Infra Grant,approved,25000,2023-04-26,P0067
RUR-916814,RuralDev,DEEPAK SHARMA,1975-05-17,893498978756,,9233654018,60677789788,106 Gandhi Marg Haridwar 249401,249401,M,shopkeeper,180000,graduate,,Village Infra Grant,pending,6000,2024-10-15,P0071
RUR-563531,RuralDev,Anita Negi,1966-09-06,767379858570,CEBGE1478F,9759392301,39562678140,184 Main Road Dehradun 248001,248001,F,shopkeeper,,,,MGNREGA Wage Support,pending,6000,2024-06-08,P0117
RUR-686424,RuralDev,MOHAN CHAUHAN,2001-02-17,,,9780884334,74392666025,"H.No 159, Nehru Nagar, Rishikesh - 249201",249201,M,shopkeeper,80000,,,Rural Livelihood Mission,pending,25000,2026-02-11,P0108
RUR-963930,RuralDev,Harish Joshi,1987-01-02,224064568761,,9521931770,95859040819,"137/shivalik vihar, haldwani, uttarakhand, 263139",263139,M,unemployed,650000,12th,,MGNREGA Wage Support,approved,50000,2024-06-15,P0084
RUR-403657,RuralDev,SANJAY CHAUHAN,1997-09-07,,,9846923032,62417984820,"96/station rd, dehradun, uttarakhand, 248001",248001,M,student,250000,12th,,Rural Livelihood Mission,approved,50000,2026-01-10,P0101
RUR-400441,RuralDev,Suresh Chauhan,1985-12-26,849534929115,,9664735673,74039859391,164 Station Rd Haridwar 249401,249401,F,farmer,400000,10th,,Rural Livelihood Mission,approved,6000,2025-04-11,P0040
RUR-895262,RuralDev,Arjun Gupta,1996-01-03,,,9202393989,82562575713,"24/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,farmer,,10th,,Rural Livelihood Mission,approved,0,2025-08-23,P0106
RUR-222115,RuralDev,Anitaa Rawat,1977-03-09,,,9208337018,16845938012,"180/nehru nagar, dehradun, uttarakhand, 248001",248001,F,shopkeeper,250000,none,,Rural Livelihood Mission,approved,12000,2026-01-11,P0097
RUR-725030,RuralDev,Arjun Bisht,1993-09-13,969416728368,,9211134294,56546180573,"46/station rd, haridwar, uttarakhand, 249401",249401,F,,,postgraduate,,Village Infra Grant,pending,12000,2026-01-03,P0061
